Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,114692.60,295626.88,2547927.90,1418,0,0,0,0,0,1670,0,114,0.9193548387096774,15624
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,2530299.00,1139211.64,1175460.00,11182,0,0,0,0,0,14938,0,376,0.9765632892211334,118788
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,78919.24,3885.00,29610.00,279,0,0,0,0,0,310,0,24,0.9224806201550387,3096
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,0.00,2059761.64,27564516.00,6320,0,0,0,0,0,8342,0,211,0.9737344093910492,81780
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,23276.48,817517.98,16899174.00,2475,0,0,0,0,0,3349,0,196,0.6936656282450675,46224
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,50244.15,775639.69,15381740.00,2430,0,0,0,0,0,3459,0,104,0.962278675904542,31176
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,0.00,375028.40,2548149.88,1057,0,0,0,0,0,1623,0,185,0.954227590591227,18876
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,0.00,352319.72,3006016.75,1017,0,0,0,0,0,1502,0,179,0.9548821548821549,17820
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,9060.75,267905.11,2997144.86,783,0,0,0,0,0,1198,0,162,0.945193171608266,13356
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,3098990.26,0.00,0,9865,0,0,0,0,0,12150,375,0.9920294908837302,120444
